nodes,x,y,y'
A,1225,290,134
B,1120,220,204
C,1040,300,124
D,1045,210,214
E,982,188,236
F,945,277,147
G,921,203,221
H,850,158,266
I,852,289,135
J,794,303,121
K,781,113,311
L,748,200,224
M,722,119,305
N,659,111,313
Ñ,656,268,156
O,637,184,240
P,666,330,94
Q,572,219,205
R,500,240,184
S,472,318,106
T,427,246,178
U,433,173,251
V,348,305,119
W,233,243,181
X,157,322,102
Y,200,200,224
Z,154,107,317
T1,291,163,261
T2,414,124,300
CC,250,313,111
FF,732,318,106
Cn1,40,180,244
Cn2,314,234,190
Et1,1215,353,71
Et2,943,354,70
Et3,793,370,54
Et4,322,368,56
Et5,124,252,172
Et6,95,184,240
